MetaB.HostT_modulePair	MetaB.feature	HostT.feature	Link.by
MetaB.MEantiquewhite4_HostT.MEcyan	C03582	DNMT3B	inhibition
MetaB.MEorangered3_HostT.MEwhite	C12564	CHRM4	binding
MetaB.MEblue_HostT.MEnavajowhite1	C02284	TLR2	inhibition
MetaB.MEdarkslateblue_HostT.MEturquoise	C12270	GRIN2C	activation
MetaB.MEdarkslateblue_HostT.MEturquoise	C12270	GRM2	activation
MetaB.MEantiquewhite4_HostT.MEchocolate2	C03582	GPX3	inhibition
MetaB.MEantiquewhite4_HostT.MEgreenyellow	C03582	SMAD2	inhibition
MetaB.MEantiquewhite4_HostT.MEgreenyellow	C03582	TRPA1	inhibition
MetaB.MEantiquewhite4_HostT.MEfirebrick4	C03582	SREBF1	inhibition
MetaB.MEbrown4_HostT.MEbrown3	C01814	ABCG2	inhibition
MetaB.MEbrown4_HostT.MEbrown	C01814	AKR1C1	binding
MetaB.MEbrown4_HostT.MEbrown	C01814	DRD5	binding
MetaB.MEbrown4_HostT.MEbrown	C01814	CPE	activation
MetaB.MEbrown4_HostT.MEbrown	C06917	NR1I2	activation
MetaB.MEantiquewhite4_HostT.MEmagenta	C07202	GJA1	activation
MetaB.MEantiquewhite4_HostT.MEmagenta	C03582	CDKN1A	activation
MetaB.MEantiquewhite4_HostT.MEmagenta	C07202	USF2	activation
MetaB.MEantiquewhite4_HostT.MEmagenta	C03582	PTGES	inhibition
MetaB.MEantiquewhite4_HostT.MEmagenta	C03582	SERPINE2	inhibition
MetaB.MEantiquewhite4_HostT.MEmagenta	C07202	CASR	binding
MetaB.MEantiquewhite4_HostT.MEmagenta	C03582	SPHK1	inhibition
MetaB.MEantiquewhite4_HostT.MEdarkseagreen2	C03582	SIRT7	activation
MetaB.MEivory_HostT.MEgreenyellow	C06947	SLC6A4	binding
MetaB.MEpink_HostT.MEpurple	C07706	SERPINE1	inhibition
MetaB.MEfirebrick4_HostT.MEred	C07650	TNFRSF6B	inhibition
MetaB.MEantiquewhite4_HostT.MEthistle4	C03582	NOS3	activation
MetaB.MEantiquewhite4_HostT.MEthistle4	C05901	NOS3	activation
MetaB.MEplum_HostT.MEdarkgoldenrod4	C06956	NDRG1	inhibition
MetaB.MEsalmon_HostT.MEsienna3	C07339	ODC1	inhibition
MetaB.MEorangered3_HostT.MEturquoise	HMDB0014729	PGR	binding
MetaB.MEred_HostT.MEyellow	C00486	HMOX1	activation
MetaB.MEred_HostT.MEyellow	C00486	CYP2A6	inhibition
MetaB.MEred_HostT.MEyellow	C07415	CYP2D6	inhibition
MetaB.MEred_HostT.MEyellow	C07324	HMOX1	activation
MetaB.MElightgreen_HostT.MEbrown	C08157	AR	activation
MetaB.MElightyellow_HostT.MEwhite	C07132	CHRM4	binding
MetaB.MEblue_HostT.MEhotpink2	C00031	LTF	binding
MetaB.MEorangered3_HostT.MEtan4	C16547	ESR1	inhibition
MetaB.MEred_HostT.MErosybrown1	C00486	IL1A	inhibition
MetaB.MEdarkmagenta_HostT.MEskyblue2	C03990	AKR1C2	inhibition
MetaB.MEdarkslateblue_HostT.MEbrown	C12270	GRIN2A	activation
MetaB.MEantiquewhite4_HostT.MEdarkgoldenrod4	C03582	MAPK8	inhibition
MetaB.MEantiquewhite4_HostT.MEdarkgoldenrod4	C05901	MAPK8	inhibition
MetaB.MEantiquewhite4_HostT.MEdarkgoldenrod4	C03582	CDK2	inhibition
MetaB.MEblue_HostT.MEred3	C11231	BAX	activation
MetaB.MEantiquewhite4_HostT.MEdarkorchid1	C03582	STAB2	activation
MetaB.MEplum_HostT.MEbrown3	C06956	ABCG2	binding
MetaB.MEbrown4_HostT.MEgreenyellow	C07256	SLC6A4	binding
MetaB.MEantiquewhite4_HostT.MEhoneydew2	C03582	JUN	activation
MetaB.MEred_HostT.MEskyblue2	C07324	SLC25A20	inhibition
MetaB.MElightyellow_HostT.MEdarkmagenta.1	C07132	CHRM3	binding
MetaB.MEantiquewhite4_HostT.MEnavajowhite1	C03582	TLR2	inhibition
MetaB.MEcyan_HostT.MEcyan	C07482	CYP2C8	binding
MetaB.MEblue_HostT.MEdeeppink	HMDB0015672	TUBA4A	binding
MetaB.MEred_HostT.MEgreen2	C07415	SLC6A3	binding
MetaB.MEmediumpurple3_HostT.MEorangered4	HMDB0014661	HNMT	inhibition
MetaB.MEslateblue_HostT.MEyellow	C06913	CYP2D6	inhibition
MetaB.MEfirebrick4_HostT.MEbrown	HMDB0014828	GABRA4	binding
MetaB.MEpalevioletred2_HostT.MEturquoise	C00413	KCNC1	inhibition
MetaB.MEskyblue3_HostT.MEpurple	C02135	IL6	activation
MetaB.MEskyblue3_HostT.MEpurple	C02135	SERPINE1	activation
MetaB.MEskyblue3_HostT.MEpurple	C02135	KCNJ1	inhibition
MetaB.MEskyblue3_HostT.MEwhite	C02135	PPARG	activation
MetaB.MEskyblue3_HostT.MEwhite	C09189	PPARG	activation
MetaB.MEskyblue3_HostT.MEwhite	C02135	ANGPT2	activation
MetaB.MEsalmon_HostT.MEdarkviolet	C01443	CD14	inhibition
MetaB.MEsalmon2_HostT.MEpurple2	C02728	SMYD2	binding
MetaB.MEivory_HostT.MEyellow	C06947	CYP2D6	binding
MetaB.MEsalmon2_HostT.MEsienna2	C02728	L3MBTL2	binding
MetaB.MEantiquewhite4_HostT.MEdarkorchid2	C03582	PARP1	inhibition
MetaB.MEhoneydew1_HostT.MEcyan	C07240	CYP2C8	inhibition
MetaB.MEantiquewhite4_HostT.MEmoccasin	C03582	KRAS	inhibition
MetaB.MElightyellow_HostT.MEpurple	C07132	HRH1	binding
MetaB.MElightyellow_HostT.MEpurple	C07663	MMP1	inhibition
MetaB.MEantiquewhite4_HostT.MEdarkgreen	C07202	ADORA2A	binding
MetaB.MEantiquewhite4_HostT.MElightpink	C03582	TP53	inhibition
MetaB.MEivory_HostT.MEturquoise	C06947	CHRFAM7A	binding
MetaB.MEsalmon_HostT.MEbrown	C07339	PRNP	activation
MetaB.MElightyellow_HostT.MEmagenta	C05463	CYP7B1	inhibition
MetaB.MEantiquewhite4_HostT.MEdarkviolet	C03582	NOTCH1	activation
MetaB.MEblue_HostT.MEmoccasin	C01737	CXCR4	binding
MetaB.MEplum1_HostT.MEhotpink2	C00089	LTF	binding
MetaB.MEskyblue_HostT.MEdarkgreen	C02712	UQCRC2	binding
MetaB.MEbrown4_HostT.MEpurple	C01814	HTR7	binding
MetaB.MEbrown4_HostT.MEpurple	C01814	GCG	inhibition
MetaB.MEbrown4_HostT.MEpurple	C01814	SREBF2	activation
MetaB.MEbrown4_HostT.MEpurple	C01814	HRH1	binding
MetaB.MEbrown4_HostT.MEpurple	C01814	SLC1A2	inhibition
MetaB.MEpink_HostT.MEbrown	C07706	AGT	inhibition
MetaB.MEskyblue3_HostT.MEcyan	C07406	OPRK1	activation
MetaB.MEskyblue3_HostT.MEcyan	C02135	KL	inhibition
MetaB.MEskyblue3_HostT.MEcyan	C02135	FN1	activation
MetaB.MEslateblue_HostT.MEbrown	C00299	TLR7	activation
MetaB.MEskyblue_HostT.MEyellow	C00077	PYCR1	inhibition
MetaB.MEred_HostT.MEdarkmagenta.1	C07415	CHRM3	binding
MetaB.MEfloralwhite_HostT.MEbisque4	C00148	P4HA1	binding
MetaB.MEantiquewhite4_HostT.MEpurple	C03582	MYC	inhibition
MetaB.MEantiquewhite4_HostT.MEpurple	C03582	SOD2	activation
MetaB.MEantiquewhite4_HostT.MEpurple	C03582	HTR7	activation
MetaB.MEantiquewhite4_HostT.MEpurple	C01561	CYP27B1	binding
MetaB.MEantiquewhite4_HostT.MEpurple	C07202	IL6	inhibition
MetaB.MEantiquewhite4_HostT.MEpurple	C03582	IL6	inhibition
MetaB.MEantiquewhite4_HostT.MEpurple	C07202	HTR7	binding
MetaB.MEantiquewhite4_HostT.MEpurple	C03582	NFKB1	inhibition
MetaB.MEantiquewhite4_HostT.MEpurple	C03582	SREBF2	activation
MetaB.MEantiquewhite4_HostT.MEpurple	C03582	ICAM1	inhibition
MetaB.MEantiquewhite4_HostT.MEpurple	C03582	SERPINE1	inhibition
MetaB.MEantiquewhite4_HostT.MEpurple	C03582	PDGFB	inhibition
MetaB.MEantiquewhite4_HostT.MEpurple	C03582	SRC	inhibition
MetaB.MEantiquewhite4_HostT.MEpurple	C07202	GRPR	binding
MetaB.MEantiquewhite4_HostT.MEpurple	C07202	SSTR2	binding
MetaB.MEantiquewhite4_HostT.MEpurple	C07202	GCG	activation
MetaB.MEantiquewhite4_HostT.MEpurple	C03582	GDF15	activation
MetaB.MEorangered3_HostT.MEpurple	C12564	HTR7	binding
MetaB.MEorangered3_HostT.MEpurple	C12564	HRH1	binding
MetaB.MEorangered3_HostT.MEred	C12564	CHRM5	binding
MetaB.MEfloralwhite_HostT.MEred	C07953	DRD4	binding
MetaB.MEfloralwhite_HostT.MEred	C07953	CHRM5	binding
MetaB.MEfloralwhite_HostT.MEred	C06935	ADRA1D	binding
MetaB.MEfloralwhite_HostT.MEred	C06935	CHRM5	binding
MetaB.MEslateblue_HostT.MEdarkmagenta.1	C06913	CHRM3	binding
MetaB.MEcyan_HostT.MEyellow	HMDB0014324	HMOX1	activation
MetaB.MEfloralwhite_HostT.MEdarkmagenta.1	C06935	CHRM3	binding
MetaB.MEfloralwhite_HostT.MEdarkmagenta.1	C07953	CHRM3	binding
MetaB.MEbrown4_HostT.MEyellow	C01814	TSPOAP1	activation
MetaB.MEbrown4_HostT.MEyellow	C01814	S100B	inhibition
MetaB.MEbrown4_HostT.MEyellow	C01814	CNR1	binding
MetaB.MEbrown4_HostT.MEyellow	C07256	ADRA2A	binding
MetaB.MEbrown4_HostT.MEyellow	C01814	ADRA2A	binding
MetaB.MEbrown4_HostT.MEyellow	C01814	CYP2D6	inhibition
MetaB.MEhoneydew1_HostT.MEfirebrick4	C07240	REL	inhibition
MetaB.MEantiquewhite4_HostT.MElightyellow.1	C01561	APOA1	inhibition
MetaB.MEantiquewhite4_HostT.MElightyellow.1	C03582	AGTR1	inhibition
MetaB.MEmediumpurple1_HostT.MEyellow	C07204	MAPT	inhibition
MetaB.MEbrown4_HostT.MEsienna2	C01814	SIGMAR1	binding
MetaB.MEcyan_HostT.MEpurple	HMDB0015110	IL6	inhibition
MetaB.MEblue_HostT.MEsalmon2	C12283	CA2	binding
MetaB.MEfloralwhite_HostT.MEhoneydew3	HMDB0001904	B2M	binding
MetaB.MElightyellow_HostT.MEred	C07132	DRD4	binding
MetaB.MElightyellow_HostT.MEred	C07132	CHRM5	binding
MetaB.MEskyblue_HostT.MEpurple	C00463	GCG	activation
MetaB.MEskyblue3_HostT.MEturquoise	C02135	ANG	activation
MetaB.MEskyblue3_HostT.MEturquoise	C02135	TGFBI	activation
MetaB.MEantiquewhite4_HostT.MEtan4	C03582	ESR1	activation
MetaB.MEantiquewhite4_HostT.MEdeeppink3	C03582	GSK3A	activation
MetaB.MEantiquewhite4_HostT.MEdeeppink3	C03582	CEBPB	inhibition
MetaB.MEbrown4_HostT.MEturquoise	C08086	SCARB1	activation
MetaB.MEbrown4_HostT.MEturquoise	C01814	CALM1	activation
MetaB.MEsalmon_HostT.MElightpink	C07339	TP53	activation
MetaB.MEhoneydew1_HostT.MEturquoise	C07240	SCARB1	activation
MetaB.MEmediumpurple1_HostT.MEdeeppink	C07204	TUBA4A	binding
MetaB.MEsalmon_HostT.MEplum4	C01443	FXYD2	binding
MetaB.MEbisque4_HostT.MEcyan	HMDB0015108	PCSK9	activation
MetaB.MEmediumpurple1_HostT.MEcyan	HMDB0001045	OPRK1	activation
MetaB.MEskyblue3_HostT.MEred	C02135	DDAH2	activation
MetaB.MEskyblue3_HostT.MEred	C02135	SLC9A3	activation
MetaB.MEskyblue3_HostT.MEred	C02135	PRKCG	activation
MetaB.MEdarkmagenta_HostT.MEred	C09308	RXRA	binding
MetaB.MEmediumpurple1_HostT.MEpurple	C15849	SERPINE1	activation
MetaB.MEantiquewhite4_HostT.MElightpink1	C03582	SIRT6	activation
MetaB.MEskyblue1_HostT.MEthistle4	C08604	NOS3	activation
MetaB.MEskyblue1_HostT.MEthistle4	HMDB0030684	NOS3	activation
MetaB.MEblue_HostT.MEpink1	C01516	HSPA8	inhibition
MetaB.MEfloralwhite_HostT.MElightpink1	C00475	GAPDH	inhibition
MetaB.MEred_HostT.MEslateblue2	C00486	EIF2S1	activation
MetaB.MEpalevioletred2_HostT.MElightpink3	C00413	PADI4	binding
MetaB.MEblue_HostT.MEdarkolivegreen4	C01598	GNRH1	inhibition
MetaB.MEantiquewhite4_HostT.MEsteelblue1	C03582	MTOR	inhibition
MetaB.MEsalmon2_HostT.MEorangered4	C02728	SETD7	binding
MetaB.MEbrown4_HostT.MEred	C07256	GSTM1	activation
MetaB.MEbrown4_HostT.MEred	C01814	ADRA1D	binding
MetaB.MEbrown4_HostT.MEred	C01814	CHRM5	binding
MetaB.MEbrown4_HostT.MEred	C01814	DRD4	binding
MetaB.MEsalmon_HostT.MEorangered4	C07339	HNMT	binding
MetaB.MEantiquewhite4_HostT.MEroyalblue4	C03582	SIRT2	activation
MetaB.MEantiquewhite4_HostT.MEroyalblue4	C03582	TGFB1	inhibition
MetaB.MEbisque4_HostT.MEred	HMDB0015108	ANPEP	binding
MetaB.MElavenderblush3_HostT.MEred	C08187	ADRA1D	binding
MetaB.MEsalmon2_HostT.MEorange4	C02728	KMT5A	binding
MetaB.MEbrown4_HostT.MEhoneydew1	C01814	PDE1B	activation
